subject	condition	order	p1	o1	p2	o2	p3	o3	p4	o4	gamble_no	decision	time	male	age	repetition
1	1	97	0.09	830	0.91	670	0.48	770	0.52	60	62	1	5879	1	47	1
1	1	2	0.82	260	0.18	340	0.49	180	0.51	310	39	2	5271	1	47	1
1	1	40	0.24	470	0.76	270	0.88	450	0.12	290	45	2	6927	1	47	1
1	1	72	0.9	160	0.1	1000	0.02	0	0.98	250	14	1	9217	1	47	1
1	1	116	0.29	-670	0.71	-280	0.05	-460	0.95	-440	75	1	10456	1	47	1
1	1	92	0.61	960	0.39	-670	0.5	710	0.5	-260	125	2	5341	1	47	1
1	1	113	0.96	-610	0.04	-560	0.34	-70	0.66	-630	71	2	6357	1	47	1
1	1	78	0.48	-590	0.52	-20	0.14	-770	0.86	-90	83	1	16111	1	47	1
1	1	1	0.08	820	0.92	720	0.27	470	0.73	770	55	1	14954	1	47	1
1	1	119	0.66	-580	0.34	-680	0.68	-670	0.32	-490	96	1	13086	1	47	1
1	1	10	0.7	400	0.3	320	0.7	770	0.3	20	27	1	10171	1	47	1
1	1	67	0.73	-490	0.27	-750	0.17	-20	0.83	-1000	74	1	12976	1	47	1
1	1	132	0.73	850	0.27	-220	0.25	-1000	0.75	760	128	1	7595	1	47	1
1	1	84	0.4	400	0.6	320	0.4	770	0.6	20	24	1	4643	1	47	1
1	1	19	0.5	535	0.5	650	0.65	400	0.35	950	11	1	11580	1	47	1
1	1	3	0.87	-780	0.13	450	0.88	-690	0.12	830	117	2	7194	1	47	1
1	1	15	0.5	-100	0.5	200	0.5	0	0.5	0	34	1	5730	1	47	1
1	1	5	0.4	0	0.6	500	0.55	40	0.45	620	134	2	4987	1	47	1
1	1	4	0.4	0	0.6	711	0.6	44	0.4	1000	133	2	8644	1	47	1
1	1	9	0.55	840	0.45	820	0.4	800	0.6	850	138	2	7175	1	47	1
1	1	28	0.2	0	0.8	895	0.3	50	0.7	1000	6	2	5106	1	47	1
1	1	32	0.9	400	0.1	320	0.9	770	0.1	20	29	2	5234	1	47	1
1	1	42	0.76	370	0.24	50	0.18	120	0.82	280	54	1	5179	1	47	1
1	1	47	0.99	470	0.01	800	0.8	350	0.2	1000	18	2	4551	1	47	1
1	1	49	0.93	-280	0.07	790	0.63	-810	0.37	890	101	2	14181	1	47	1
1	1	52	0.4	500	0.6	333	0.6	0	0.4	1000	129	1	3888	1	47	1
1	1	61	0.77	-770	0.23	-620	0.71	-940	0.29	-510	76	1	8360	1	47	1
1	1	95	0.28	-590	0.72	960	0.04	-40	0.96	630	111	2	6312	1	47	1
1	1	70	0.43	-550	0.57	-530	0.08	-770	0.92	-510	94	1	8998	1	47	1
1	1	83	0.5	-100	0.5	300	0.5	0	0.5	0	37	1	8063	1	47	1
1	1	89	0.2	400	0.8	320	0.2	770	0.8	20	22	1	7484	1	47	1
1	1	90	0.97	310	0.03	-200	0.36	-540	0.64	990	114	1	6468	1	47	1
1	1	138	0.39	760	0.61	-70	0.06	-650	0.94	370	113	2	12662	1	47	1
1	1	94	0.5	400	0.5	320	0.5	770	0.5	20	25	1	7431	1	47	1
1	1	96	0.53	-930	0.47	-260	0.8	-520	0.2	-930	95	2	11151	1	47	1
1	1	111	0.5	100	0.5	345	0.6	50	0.4	480	12	2	9107	1	47	1
1	1	121	0.04	-980	0.96	-250	0.4	-780	0.6	-220	89	1	7714	1	47	1
1	1	127	0.5	-100	0.5	240	0.5	0	0.5	0	36	2	4807	1	47	1
1	1	130	0.56	-60	0.44	-590	0.64	-270	0.36	-830	77	2	12446	1	47	1
1	1	133	1	400	0	320	1	770	0	20	30	2	10957	1	47	1
1	1	136	0.95	-330	0.05	190	0.26	140	0.74	-750	115	1	11087	1	47	1
1	1	86	0.39	-700	0.61	190	0.3	80	0.7	-370	116	2	13110	1	47	1
1	1	33	0.89	-310	0.11	270	0.36	260	0.64	-480	123	2	8990	1	47	1
1	1	107	0.6	225	0.4	330	0.33	0	0.67	400	4	1	4673	1	47	1
1	1	71	0.98	760	0.02	370	0.82	490	0.18	500	42	1	6504	1	47	1
1	1	137	0.31	390	0.69	510	0.84	160	0.16	910	64	1	5189	1	47	1
1	1	128	0.76	-30	0.24	-920	0.62	-140	0.38	-830	69	1	8531	1	47	1
1	1	18	0.07	-550	0.93	950	0.48	-130	0.52	990	118	1	8040	1	47	1
1	1	17	0.8	400	0.2	320	0.8	770	0.2	20	28	1	17973	1	47	1
1	1	129	0.43	-470	0.57	630	0.02	-690	0.98	140	100	1	9373	1	47	1
1	1	11	0.6	400	0.4	320	0.6	770	0.4	20	26	1	8932	1	47	1
1	1	85	0.5	-100	0.5	220	0.5	0	0.5	0	35	2	5553	1	47	1
1	1	58	0.3	400	0.7	320	0.3	770	0.7	20	23	1	5500	1	47	1
1	1	125	0.37	-80	0.63	520	0.87	230	0.13	-390	105	1	9400	1	47	1
1	1	55	0.56	630	0.44	210	1	360	0	0	56	1	9081	1	47	1
1	1	23	0.5	-100	0.5	50	0.5	0	0.5	0	31	2	6583	1	47	1
1	1	13	0.61	680	0.39	390	0.6	770	0.4	480	57	2	8063	1	47	1
1	1	75	0.79	-670	0.21	-370	0.46	0	0.54	-970	90	2	11029	1	47	1
1	1	76	0.92	-730	0.08	960	0.11	160	0.89	-480	107	2	7253	1	47	1
1	1	16	0.21	-600	0.79	-160	0.45	-60	0.55	-510	91	1	17848	1	47	1
1	1	114	0.34	240	0.66	590	0.42	470	0.58	640	52	2	8602	1	47	1
1	1	103	0.65	200	0.35	700	0.5	0	0.5	750	132	1	5647	1	47	1
1	1	124	0.5	-100	0.5	100	0.5	0	0.5	0	32	2	3279	1	47	1
1	1	29	0.3	-890	0.7	-720	0.96	-960	0.04	-370	70	1	5858	1	47	1
1	1	123	0.59	-1000	0.41	810	0.47	-730	0.53	150	124	2	7755	1	47	1
1	1	106	0.04	390	0.96	280	0.39	530	0.61	200	63	2	5203	1	47	1
1	1	64	0.04	-150	0.96	-600	0.88	-340	0.12	-770	92	2	14216	1	47	1
1	1	39	0.3	0	0.7	450	0.5	30	0.5	600	5	2	6298	1	47	1
1	2	1	0.05	560	0.95	720	0.95	680	0.05	950	43	1	7014	1	47	2
1	2	104	0.44	-590	0.56	0	0.43	-800	0.57	-240	54	1	18730	1	47	2
1	2	110	0	0	1	-550	0.79	-640	0.21	230	99	2	6899	1	47	2
1	2	132	0.97	-580	0.03	-650	0.18	-520	0.82	-740	68	1	8466	1	47	2
1	2	88	0.37	-910	0.63	-330	0.49	-410	0.51	-610	60	1	9765	1	47	2
1	2	101	0.49	-10	0.51	-540	0.77	-330	0.23	-300	56	1	8606	1	47	2
1	2	9	0.13	-510	0.87	-560	0.93	-470	0.07	-700	53	2	9650	1	47	2
1	2	5	0.99	240	0.01	530	0.71	170	0.29	770	27	2	7235	1	47	2
1	2	23	0.59	310	0.41	630	0.89	920	0.11	200	22	2	8577	1	47	2
1	2	57	0.1	450	0.9	140	0.14	250	0.86	270	47	2	11323	1	47	2
1	2	67	0.2	0	0.8	895	0.3	50	0.7	1000	134	1	11604	1	47	2
1	2	2	0.45	100	0.55	400	0.4	0	0.6	440	2	1	4763	1	47	2
1	2	22	0.9	150	0.1	1000	0.01	0	0.99	240	13	1	7509	1	47	2
1	2	35	0.79	-700	0.21	980	0.65	-850	0.35	930	91	2	11222	1	47	2
1	2	85	1	-480	0	0	0.9	-710	0.1	870	82	2	6791	1	47	2
1	2	20	0.33	0	0.67	630	0.6	40	0.4	1000	136	2	9862	1	47	2
1	2	137	0.5	-100	0.5	150	0.5	0	0.5	0	123	2	6502	1	47	2
1	2	24	0.97	-510	0.03	300	0.68	-890	0.32	460	97	2	7721	1	47	2
1	2	124	0.33	-230	0.67	-960	0.29	-400	0.71	-820	64	1	12136	1	47	2
1	2	123	0.65	-720	0.35	-80	0.25	-900	0.75	-390	70	2	11230	1	47	2
1	2	39	0.16	660	0.84	230	0.79	150	0.21	290	32	1	17985	1	47	2
1	2	111	0.78	320	0.22	990	0.32	390	0.68	560	44	1	7961	1	47	2
1	2	131	0.38	-490	0.62	20	0.22	190	0.78	-180	95	1	9669	1	47	2
1	2	40	0.09	-540	0.91	-410	0.79	-650	0.21	-280	61	1	9807	1	47	2
1	2	58	0.08	540	0.92	310	0.15	440	0.85	290	45	2	13145	1	47	2
1	2	116	0.5	-100	0.5	200	0.5	0	0.5	0	124	1	4700	1	47	2
1	2	6	0.56	850	0.44	-220	0.22	-700	0.78	660	103	1	5877	1	47	2
1	2	72	0.65	200	0.35	700	0.5	0	0.5	750	4	1	10178	1	47	2
1	2	59	0.5	-210	0.5	-770	0.39	-770	0.61	-750	72	1	8652	1	47	2
1	2	96	0.96	170	0.04	-480	0.49	-600	0.51	840	94	1	10307	1	47	2
1	2	76	0.5	-100	0.5	220	0.5	0	0.5	0	125	1	7915	1	47	2
1	2	98	0.4	510	0.6	800	0.3	0	0.7	980	131	1	4513	1	47	2
1	2	12	0.91	800	0.09	190	0.64	370	0.36	650	41	2	12566	1	47	2
1	2	70	0.61	370	0.39	500	0.6	60	0.4	450	29	1	13418	1	47	2
1	2	13	0.5	550	0.5	950	0.25	0	0.75	1000	3	1	8830	1	47	2
1	2	42	0.07	-70	0.93	250	0.87	480	0.13	-100	88	2	11452	1	47	2
1	2	48	0.58	-500	0.42	-540	0.14	-730	0.86	-400	66	2	7813	1	47	2
1	2	113	0.25	0	0.75	705	0.5	60	0.5	1000	7	1	7209	1	47	2
1	2	73	0.98	183	0.02	210	0.85	40	0.15	1000	19	2	7825	1	47	2
1	2	122	0.44	140	0.56	720	0.21	90	0.79	310	46	1	9099	1	47	2
1	2	15	0.14	930	0.86	-910	0.32	0	0.68	-760	92	1	17052	1	47	2
1	2	99	0.75	720	0.25	-380	0.45	600	0.55	-80	90	2	7622	1	47	2
1	2	112	0.94	-660	0.06	920	0.03	310	0.97	-490	85	2	9211	1	47	2
1	2	102	0.4	500	0.6	333	0.6	0	0.4	1000	1	1	7419	1	47	2
1	2	4	0.55	840	0.45	820	0.4	800	0.6	850	10	2	8082	1	47	2
1	2	103	0.74	650	0.26	60	0.64	930	0.36	350	37	2	6603	1	47	2
1	2	89	0.33	850	0.67	600	0.24	980	0.76	260	48	1	5672	1	47	2
1	2	10	0.5	750	0.5	900	0.35	500	0.65	1000	11	1	13172	1	47	2
1	2	94	0.48	580	0.52	-50	0.4	-400	0.6	960	83	1	5564	1	47	2
1	2	91	0.19	-680	0.81	-460	0.61	-90	0.39	-900	67	2	5380	1	47	2
1	2	74	0.68	410	0.32	650	0.85	1000	0.15	20	40	2	8518	1	47	2
1	2	117	0.85	145	0.15	1000	0.02	5	0.98	280	15	1	12095	1	47	2
1	2	126	0.13	-130	0.87	270	0.34	-180	0.66	700	109	2	9265	1	47	2
1	2	49	0.5	-100	0.5	50	0.5	0	0.5	0	121	2	6369	1	47	2
1	2	79	0.6	225	0.4	330	0.33	0	0.67	400	132	1	4334	1	47	2
1	2	106	0.12	520	0.88	730	0.98	920	0.02	190	31	2	5865	1	47	2
1	2	121	0.3	0	0.7	450	0.6	40	0.4	730	135	2	5948	1	47	2
1	2	125	0.5	-100	0.5	400	0.5	0	0.5	0	128	1	4258	1	47	2
1	2	61	0.48	130	0.52	700	0.18	720	0.82	600	23	2	13994	1	47	2
1	2	8	0.4	0	0.6	500	0.55	40	0.45	620	6	2	5161	1	47	2
1	2	90	0.4	-600	0.6	-820	0.47	-310	0.53	-900	73	2	8107	1	47	2
1	2	38	0.75	-1000	0.25	-840	0.95	-850	0.05	-290	77	2	8257	1	47	2
1	2	60	0.56	-90	0.44	-560	0.64	-150	0.36	-800	80	1	5930	1	47	2
1	2	97	0.5	0	0.5	400	0.65	39	0.35	500	8	2	12120	1	47	2
1	2	37	0.44	710	0.56	-950	0.63	-310	0.37	40	96	2	11496	1	47	2
1	2	3	0.7	300	0.3	400	0.6	200	0.4	525	12	2	8770	1	47	2
1	2	28	0.87	770	0.13	720	0.26	670	0.74	1000	42	1	7826	1	47	2
1	2	66	0.3	400	0.7	320	0.3	770	0.7	20	113	1	9291	1	47	2
1	2	105	0.5	-100	0.5	240	0.5	0	0.5	0	126	1	7990	1	47	2
1	2	68	0.29	880	0.71	780	0.29	530	0.71	910	21	1	21748	1	47	2
1	2	7	0.38	-220	0.62	-150	0.38	-40	0.62	-360	59	1	8100	1	47	2
1	2	32	0.76	-330	0.24	-530	0.52	-180	0.48	-600	76	2	12423	1	47	2
1	2	86	0.1	400	0.9	320	0.1	770	0.9	20	111	1	3252	1	47	2
1	2	100	0.4	0	0.6	711	0.6	44	0.4	1000	5	2	6166	1	47	2
1	2	51	0.48	-150	0.52	-910	0.28	-480	0.72	-740	74	1	12631	1	47	2
1	2	127	0.86	-260	0.14	820	0.6	-390	0.4	310	86	2	9482	1	47	2
1	2	87	0.5	-100	0.5	100	0.5	0	0.5	0	122	2	6828	1	47	2
1	2	63	0.93	-550	0.07	-170	0.27	-880	0.73	-350	62	2	7784	1	47	2
1	2	11	0.99	270	0.01	310	0.8	80	0.2	1000	20	2	6700	1	47	2
1	2	64	0.3	375	0.7	975	0.2	0	0.8	1000	130	1	4958	1	47	2
1	2	133	0.9	112	0.1	1000	0.01	0	0.99	203	14	1	8707	1	47	2
1	2	83	0.3	980	0.7	-700	0.48	510	0.52	-990	106	1	10780	1	47	2
1	2	53	0.43	-910	0.57	630	0.27	-830	0.73	240	84	2	7421	1	47	2
1	2	31	0.63	650	0.37	740	0.47	70	0.53	850	50	1	8364	1	47	2
1	2	41	0.16	-150	0.84	-670	0.72	-560	0.28	-830	55	1	9870	1	47	2
1	2	50	0.9	142	0.1	1000	0.01	20	0.99	230	16	2	9920	1	47	2
1	2	17	0.03	-750	0.97	-270	0.69	-410	0.31	-480	65	1	7076	1	47	2
1	2	84	0.7	550	0.3	-760	0.08	-560	0.92	260	102	2	8109	1	47	2
1	2	27	0.09	560	0.91	190	0.76	130	0.24	900	28	2	10676	1	47	2
1	2	46	0.85	-550	0.15	270	0.02	730	0.98	-880	81	1	6510	1	47	2
1	2	129	0.39	100	0.61	-720	0.64	-720	0.36	320	101	2	7750	1	47	2
1	2	18	0.5	400	0.5	320	0.5	770	0.5	20	115	1	10669	1	47	2
1	2	81	0.56	-40	0.44	-800	0.04	-460	0.96	-580	58	1	6472	1	47	2
1	2	136	0.99	-240	0.01	-130	0.44	-150	0.56	-620	75	1	4687	1	47	2
1	2	19	0.25	600	0.75	1000	0.5	800	0.5	1000	138	2	8703	1	47	2
1	2	80	0.8	540	0.2	210	0.49	980	0.51	30	34	1	6987	1	47	2
1	2	119	0.9	400	0.1	320	0.9	770	0.1	20	119	2	6786	1	47	2
1	2	109	0.27	10	0.73	-850	0.18	260	0.82	-510	110	2	13500	1	47	2
1	2	78	0.73	-310	0.27	90	0.07	390	0.93	-270	89	1	13528	1	47	2
1	2	36	0.74	560	0.26	-760	0.4	-310	0.6	920	93	1	9961	1	47	2
1	2	77	0.5	980	0.5	-240	0.14	-760	0.86	460	98	2	6365	1	47	2
1	2	25	0.33	-230	0.67	-290	0.43	-670	0.57	-280	51	1	5734	1	47	2
1	2	71	0.63	-960	0.37	-380	0.17	-120	0.83	-690	71	1	7879	1	47	2
1	2	33	0.45	-550	0.55	720	0.59	370	0.41	-340	107	1	5801	1	47	2
1	2	62	0.37	260	0.63	640	0.89	190	0.11	810	25	1	9324	1	47	2
1	2	26	0.2	400	0.8	320	0.2	770	0.8	20	112	1	6923	1	47	2
1	2	135	0.82	-400	0.18	-900	0.17	-460	0.83	-640	52	1	10068	1	47	2
1	2	34	0.98	250	0.02	350	0.85	120	0.15	1000	18	1	10802	1	47	2
1	2	138	0.86	-390	0.14	830	0.8	80	0.2	-880	100	2	8733	1	47	2
1	2	43	0.6	400	0.4	320	0.6	770	0.4	20	116	1	8448	1	47	2
1	2	108	0.6	-460	0.4	-210	0.42	-990	0.58	-370	57	2	7701	1	47	2
1	2	128	0.17	700	0.83	650	0.35	1000	0.65	500	24	1	7210	1	47	2
1	2	16	0.05	560	0.95	-560	0.47	290	0.53	-800	87	2	10921	1	47	2
1	2	45	0.91	-330	0.09	280	0.27	90	0.73	-670	105	1	16541	1	47	2
1	2	107	0.59	-850	0.41	-70	0.52	-90	0.48	-730	69	2	5477	1	47	2
1	2	130	0.49	150	0.51	500	0.94	640	0.06	140	49	1	8716	1	47	2
1	2	30	0.3	0	0.7	450	0.5	30	0.5	600	133	2	8042	1	47	2
1	2	47	0.69	570	0.31	400	0.07	390	0.93	740	30	2	10187	1	47	2
1	2	120	0.19	300	0.81	970	0.14	850	0.86	820	35	2	8860	1	47	2
1	2	118	0.5	-100	0.5	300	0.5	0	0.5	0	127	1	3652	1	47	2
1	2	29	0.6	250	0.4	300	0.5	200	0.5	340	9	2	15376	1	47	2
1	2	55	0.93	860	0.07	270	0.8	870	0.2	180	39	1	6632	1	47	2
1	2	95	0.98	290	0.02	320	0.85	130	0.15	1200	17	2	9600	1	47	2
1	2	52	0.8	400	0.2	320	0.8	770	0.2	20	118	2	7705	1	47	2
1	2	114	0.4	-10	0.6	130	0.59	440	0.41	-500	104	1	9234	1	47	2
1	2	115	0.7	300	0.3	400	0.6	200	0.4	525	137	2	7384	1	47	2
1	2	44	0.5	300	0.5	400	0.3	0	0.7	500	129	1	4278	1	47	2
1	2	75	0.05	600	0.95	760	0.84	950	0.16	170	33	1	9759	1	47	2
1	2	21	0.13	-190	0.87	-560	0.7	-320	0.3	-370	63	2	12821	1	47	2
1	2	65	0.99	310	0.01	680	0.04	320	0.96	470	36	2	8806	1	47	2
1	2	82	0.59	-550	0.41	-770	0.47	-300	0.53	-610	78	2	10326	1	47	2
1	2	54	0.86	-290	0.14	-300	0.26	-170	0.74	-430	79	2	13083	1	47	2
1	2	14	1	400	0	320	1	770	0	20	120	2	11625	1	47	2
1	2	56	0.99	670	0.01	-30	0.68	740	0.32	-20	108	1	3969	1	47	2
1	2	92	0.88	790	0.12	820	0.2	570	0.8	940	38	2	12619	1	47	2
1	2	93	0.7	400	0.3	320	0.7	770	0.3	20	117	1	5717	1	47	2
1	2	69	0.4	400	0.6	320	0.4	770	0.6	20	114	1	11830	1	47	2
1	2	134	0.91	430	0.09	960	0.66	480	0.34	380	26	2	8247	1	47	2
2	1	132	0.14	-920	0.86	760	0.94	990	0.06	-960	109	2	6399	1	19	1
2	1	90	0.55	840	0.45	820	0.4	800	0.6	850	138	1	8752	1	19	1
2	1	17	0.19	430	0.81	50	0.14	910	0.86	60	43	2	13824	1	19	1
2	1	68	0.73	750	0.27	340	0.9	560	0.1	820	59	2	12321	1	19	1
2	1	52	0.33	0	0.67	630	0.6	40	0.4	1000	8	2	14322	1	19	1
2	1	80	0.92	630	0.08	50	0.63	430	0.37	530	60	1	9812	1	19	1
2	1	50	0.2	400	0.8	320	0.2	770	0.8	20	22	1	16649	1	19	1
2	1	63	0.31	1000	0.69	480	0.58	1000	0.42	10	50	1	7677	1	19	1
2	1	59	0.27	250	0.73	-610	0.34	-820	0.66	30	120	2	24352	1	19	1
2	1	65	0.06	-820	0.94	540	0.91	380	0.09	-730	104	1	7247	1	19	1
2	1	122	0.95	-330	0.05	190	0.26	140	0.74	-750	115	1	10249	1	19	1
2	1	13	0.55	890	0.45	-520	0.76	860	0.24	-750	119	2	19063	1	19	1
2	1	98	0.99	470	0.01	800	0.8	350	0.2	1000	18	2	10788	1	19	1
2	1	115	0.1	400	0.9	320	0.1	770	0.9	20	21	1	6260	1	19	1
2	1	111	0.62	10	0.38	830	0.41	370	0.59	240	51	2	4675	1	19	1
2	1	38	0.3	-890	0.7	-720	0.96	-960	0.04	-370	70	1	12018	1	19	1
2	1	96	0.9	590	0.1	1000	0.02	0	0.98	650	16	1	11278	1	19	1
2	1	128	0.61	680	0.39	390	0.6	770	0.4	480	57	2	13977	1	19	1
2	1	46	0.04	-150	0.96	-600	0.88	-340	0.12	-770	92	2	7630	1	19	1
2	1	84	0.58	-440	0.42	430	0.83	10	0.17	-700	121	2	10436	1	19	1
2	1	28	0.28	-590	0.72	960	0.04	-40	0.96	630	111	2	8467	1	19	1
2	1	34	0.98	760	0.02	370	0.82	490	0.18	500	42	1	7712	1	19	1
2	1	107	0.51	-260	0.49	-760	0.77	-480	0.23	-340	73	1	6845	1	19	1
2	1	101	0.28	70	0.72	740	0.71	550	0.29	630	68	2	7473	1	19	1
2	1	51	0.56	630	0.44	210	1	360	0	0	56	1	11352	1	19	1
2	1	12	0.5	-100	0.5	220	0.5	0	0.5	0	35	2	10362	1	19	1
2	1	70	0.74	620	0.26	0	0.44	230	0.56	310	53	1	9718	1	19	1
2	1	49	0.99	215	0.01	350	0.8	20	0.2	1000	20	1	9690	1	19	1
2	1	1	0.65	200	0.35	700	0.5	0	0.5	750	132	2	17661	1	19	1
2	1	69	0.4	0	0.6	500	0.55	40	0.45	620	134	1	19861	1	19	1
2	1	64	1	400	0	320	1	770	0	20	30	2	13017	1	19	1
2	1	136	0.9	760	0.1	690	0.66	190	0.34	790	47	1	3788	1	19	1
2	1	2	0.61	-730	0.39	-580	0.44	-830	0.56	-80	78	2	17518	1	19	1
2	1	18	0.87	-780	0.13	450	0.88	-690	0.12	830	117	1	28773	1	19	1
2	1	93	0.32	-830	0.68	-190	0.15	-150	0.85	-520	97	1	12775	1	19	1
2	1	35	0.93	750	0.07	-900	0.87	960	0.13	-890	127	1	10979	1	19	1
2	1	114	0.76	370	0.24	50	0.18	120	0.82	280	54	1	7377	1	19	1
2	1	8	0.43	-470	0.57	630	0.02	-690	0.98	140	100	2	6986	1	19	1
2	1	53	0.52	680	0.48	900	0.19	10	0.81	870	67	2	7625	1	19	1
